ID,designation_header,strain_number_header,is_type_strain_header,species,Cell length (µm),Cell Width (µm),Cell Shape,Reference,NCBI ID
140680.0,LYH-12,"BCRC 80919, LMG 29171, KCTC 42898",1.0,Hymenobacter pallidus,1.8-2.0,0.9-1.1,rod-shaped,43445.0,
140889.0,KBP-30,"LMG 27293, KCTC 32237",1.0,Hymenobacter paludis,1.2-1.6,0.4-0.8,rod-shaped,43719.0,
159862.0,S12-2-1,"KCTC 52730, JCM 32198",1.0,Hymenobacter pedocola,1.3-2.8,0.7-1.2,rod-shaped,66580.0,2025510
158732.0,M2,"CCTCC AB 2017185, KCTC 62120",1.0,Hymenobacter profundi,1.2-2.2,0.6-1,rod-shaped,65482.0,
3804.0,Tibet-IIU11,"DSM 18569, CGMCC 1.6365",1.0,Hymenobacter psychrotolerans,1.25,0.5,rod-shaped,32500.0,1121959
158705.0,TAPP3,"BCRC 80979, LMG 29559, KCTC 52236",1.0,Hymenobacter rivuli,1.7-3.6,0.6-0.8,rod-shaped,65447.0,
158615.0,NY03-3-30,"CCTCC AB 2017095, KCTC 62163",1.0,Hymenobacter rubripertinctus,2.1-5.6,0.8-1,rod-shaped,65337.0,
159745.0,S1-2-2-6,"KCTC 52736, JCM 32196",1.0,Hymenobacter rufus,1.3-4.4,0.8-1.7,rod-shaped,66663.0,2025508
133390.0,K2-33028,"CCTCC AB 2016091, KCTC 52447",1.0,Hymenobacter rutilus,1.6-2.4,0.8-1.0,rod-shaped,25273.0,1867850
134031.0,GSR0100,"KACC 16452, JCM 17923",1.0,Hymenobacter saemangeumensis,2.5,0.65,rod-shaped,31092.0,1084522
133364.0,16F7G,"KCTC 52197, JCM 31655",1.0,Hymenobacter seoulensis,2.6,1,rod-shaped,25224.0,1867106
134203.0,PB17,"KCTC 12607, LMG 24240",1.0,Hymenobacter soli,3,0.8,rod-shaped,31830.0,373890
140561.0,POB6,"KCTC 52271, JCM 31659",1.0,Hymenobacter tenuis,1.8-2.8,0.4,rod-shaped,43292.0,1898978
134255.0,X2-1g,"CCTCC AB 206080, IAM 15452",1.0,Hymenobacter xinjiangensis,3.5,0.7,rod-shaped,32144.0,400091
159821.0,2ED5,"CGMCC 1.16466, JCM 32612",1.0,Hyphobacterium indicum,1-2,0.5-0.8,rod-shaped,66762.0,2162714
140468.0,WM6,"MCCC 1K03222, KCTC 52487",1.0,Hyphobacterium vulgare,0.8-1.2,0.5-0.6,rod-shaped,43188.0,1736751
140765.0,HSF6,"MCCC 1K03223, KCTC 52486, DSM 109355",1.0,Hyphococcus flavus,0.5-1,"1.5-2, ",,,1866326
,,,,,1.5-2,,,,
133956.0,NL23,"ATCC BAA 2476, LMG 27277",1.0,Hyphomicrobium nitrativorans,1.75,0.65,rod-shaped,30945.0,1029756
5739.0,CNU-004,"DSM 21035, KCTC 22242, CNU 004",1.0,Hyunsoonleella jejuensis,2,0.45,rod-shaped,29121.0,419940
133333.0,,"FA042, KCTC 42398, MCCC 1H00110",1.0,Hyunsoonleella rubra,1.6-3.8,0.3-0.4 mm,rod-shaped,25186.0,1737062
17737.0,F12,"DSM 19957, KCTC 19879, NBRC 102561",1.0,Iamia majanohamensis,1.45,0.4,rod-shaped,29077.0,467976
141119.0,JBKA-6,"ATCC BAA 2465, JCM 18228",1.0,Ichthyobacterium seriolicida,4-6,0.3,rod-shaped,44031.0,
17955.0,1a22,"DSM 21438, JCM 15503",1.0,Ideonella azotifigens,4,0.75,rod-shaped,28994.0,513160
141120.0,KBP-31,"BCRC 80524, KCTC 32238",1.0,Ideonella paludis,0.8-1.4,0.4-0.8,rod-shaped,44032.0,
140803.0,201-F6,"NBRC 110686, TISTR 2288",1.0,Ideonella sakaiensis,1.2-1.5,0.6-0.8,rod-shaped,43583.0,
6231.0,F23,DSM 16139,1.0,Idiomarina fontislapidosi,3.5,0.75,rod-shaped,31269.0,263723
133925.0,SW104,"CGMCC 1.10824, JCM 18138",1.0,Idiomarina indica,4.75,0.45,rod-shaped,30884.0,1159017
6232.0,R22,DSM 16140,1.0,Idiomarina ramblicola,2.5,0.75,rod-shaped,31269.0,263724
133294.0,,"CC-PW-9, JCM 19757, BCRC 80745",1.0,Idiomarina tyrosinivorans,1.0-2.4,0.3-0.4,vibrio-shaped,25071.0,1445662
17819.0,Mat9-16,"DSM 19864, NBRC 101810",1.0,Ignavibacterium album,8.75,0.25,rod-shaped,29407.0,945713
4191.0,"KIN4/1, KIN4/I","DSM 18386, JCM 14125",1.0,Ignicoccus hospitalis,1.0-6.0,,coccus-shaped,23220.0,453591
4189.0,,"DSM 13165, ATCC 700957, Kol 8",1.0,Ignicoccus islandicus,1.2-3.0,,coccus-shaped,23219.0,940295
4190.0,LPC 33,"DSM 13166, ATCC 700958",1.0,Ignicoccus pacificus,1-2,,coccus-shaped,23219.0,940294
4192.0,"AQ1.S1, TG 866","DSM 17230, JCM 13409",1.0,Ignisphaera aggregans,1.0-1.5,,coccus-shaped,23221.0,583356
133934.0,YM16-304,"NBRC 103263, KCTC 29153",1.0,Ilumatobacter coccineus,1.4,0.5,rod-shaped,30911.0,1313172
133933.0,YM16-303,"NBRC 29153, KCTC 29139",1.0,Ilumatobacter nonamiensis,0.85,0.55,rod-shaped,30911.0,1313171
133093.0,TR3.2,"DSM 103040, ATCC TSD-58",1.0,Immundisolibacter cernigliae,0.56,0.35,oval-shaped,25270.0,
134040.0,,"CICC 10659, KCTC 32399, DSM 104961",0.0,Imperialibacter roseus,4,0.4,rod-shaped,31119.0,1324217
5746.0,K1,"DSM 24931, JCM 17677, MTCC 11055",1.0,Imtechella halotolerans,1.5,0.6,rod-shaped,30541.0,946077
133554.0,LW1,"KCTC 22604, CCUG 57479",1.0,Indibacter alkaliphilus,2.5,0.6,rod-shaped,29487.0,1189612
158434.0,,"DSM 105146, CGMCC 1.15812, SCSIO 08040",1.0,Indioceanicola profundi,1-2.5,1-2.5,,,2220096
23449.0,TNR-25,"DSM 27144, BCRC 80211, LMG 25721",1.0,Inhella fonticola,1-1.2,0.3-0.5,rod-shaped,30388.0,759929
132414.0,S2479,"DSM 100275, VKM B-2962",1.0,Inmirania thermothiophila,1-2,0.6-0.7,rod-shaped,43793.0,1750597
13942.0,,"DSM 25189, KCTC 12574, LMG 23638, Gsoil 080",1.0,Inquilinus ginsengisoli,3.25,0.7,rod-shaped,29683.0,363840
24772.0,SRB-521-5-l,"DSM 26588, CCUG 63529, KCTC 15744",1.0,Intestinimonas butyriciproducens,3.5,0.5,rod-shaped,31076.0,1297617
6245.0,KV-657,"DSM 22331, JCM 15924, NBRC 101802, NRRL B-24470",1.0,Intrasporangium oryzae,1.0-2.2,0.5,rod-shaped,32170.0,1386089
133277.0,,"C-3, JCM 17843, LMG 28660",1.0,Iodidimonas muriae,1.3-3.6,0.5-1.1,rod-shaped,25125.0,261467
130823.0,,"DSM 100243, CIP 110311, M4-16, MTCC 11351, CCUG 62945, CIP 1103011",1.0,Iodobacter arcticus,1.25,0.55,rod-shaped,30806.0,590593
132145.0,E1,"DSM 103822, CCTCC AB 2010224, NRRL B-59456",1.0,Iodobacter limnosediminis,1.55,0.7,rod-shaped,30610.0,752139
132577.0,AP-38,"DSM 101603, LMG 29223, CCM 8653",1.0,Isoptericola cucumis,1.5-2.5,0.9-1.5,rod-shaped,43065.0,1776856
132465.0,N6PO6,"DSM 29293, LMG 28430",1.0,Izhakiella capsodis,1.2-2.4,0.32-0.74,rod-shaped,43720.0,1367852
24109.0,HR08-44,"DSM 26154, NBRC 107693",1.0,Janibacter cremeus,0.8,0.65,ovoid-shaped,31079.0,1285192
6263.0,CM2104,"CCUG 54528, CIP 108643, DSM 16063, JCM 12321, KCTC 9987",1.0,Janibacter melonis,0.9,0.9,coccus-shaped,31267.0,262209
24489.0,GSW-M26,"DSM 28248, CCUG 60899, KCTC 23555, KCTC 23555T",1.0,Jannaschia aquimarina,2.25,0.6,ovoid-shaped,30547.0,935700
158617.0,JSSK-16,"KACC 19436, KCTC 62137, NBRC 113018",1.0,Jannaschia confluentis,0.6-3,0.6-3,,,
133693.0,CFPB-A9T,"LMG 22015, NBRC 100362",1.0,Jannaschia cystaugens,1.75,0.65,rod-shaped,30175.0,266809
13666.0,5SM22,"DSM 16310, CECT 5294, DSM 14426, CCUG 49437",0.0,Jannaschia cystaugens,1.5,0.5,rod-shaped,31310.0,266809
131163.0,DSW-17,"DSM 102233, JCM 14563, KCTC 12862",1.0,Jannaschia donghaensis,2.8,1.5,rod-shaped,32138.0,420998
13667.0,H1-M8,"DSM 19073, KACC 11609",1.0,Jannaschia pohangensis,1.75,0.85,rod-shaped,32231.0,390807
13664.0,4SM3,"DSM 16279, CECT 5088, DSM 14425, CCUG 49434",1.0,Jannaschia rubra,1.5,0.5,rod-shaped,31367.0,282197
13668.0,SMK-146,"DSM 25227, CCUG 55326, KCTC 22172",1.0,Jannaschia seohaensis,2,1,rod-shaped,29344.0,475081
132846.0,CL-SP26,"DSM 104837, JCM 13035, KCCM 42114",1.0,Jannaschia seosinensis,1.1-2.3,0.7-1.2,rod-shaped,31574.0,313367
23030.0,S9-650,"DSM 45627, KACC 16232",1.0,Jatrophihabitans endophyticus,1.2,0.5,rod-shaped,30600.0,1206085
132631.0,,"DSM 46866, CPCC 204076, I13A-01604, NBRC 110718",1.0,Jatrophihabitans huperziae,1.0-1.1,0.5-0.7,rod-shaped,24895.0,1730378
158645.0,N237,"KCTC 39922, NRRL B-65477",1.0,Jatrophihabitans telluris,1-1.1,0.4-0.5,rod-shaped,65370.0,
5728.0,EM39,"DSM 21165, KCTC 22298",1.0,Jejuia pallidilutea,1.8-2.6,0.5-0.7,rod-shaped,29159.0,504487
24800.0,Jchi,"DSM 28058, BCRC 80367, KCTC 23701",1.0,Jeongeupia chitinilytica,1.5,0.4,rod-shaped,30726.0,1041641
10529.0,BIO-TAS4-2,"DSM 24253, CCUG 57610, KCTC 22633",1.0,Jeongeupia naejangsanensis,1.6,0.5,rod-shaped,29411.0,613195
1511.0,YKJ-13,"DSM 18867, CIP 107405, JCM 10872, KCCM 80002",1.0,Jeotgalibacillus alimentarius,1.0-1.2,2.0-4-0,rod-shaped,23065.0,135826
133266.0,,"JC303, KCTC 33662, LMG 28756",1.0,Jeotgalibacillus alkaliphilus,1.2-4.0,0.6-1.0,rod-shaped,25079.0,1671556
1512.0,SF-57,"DSM 18983, CIP 108511, JCM 11810, KCCM 41644",1.0,Jeotgalibacillus campisalis,3.25,1.45,rod-shaped,29980.0,220754
159771.0,22-7,"MCCC 1H00228, KCTC 33930",1.0,Jeotgalibacillus proteolyticus,1.7-2.6,1.7-2.6,,,2082395
1513.0,ASL-1,"DSM 23492, CCUG 56751, KCTC 13257",1.0,Jeotgalibacillus salarius,4.9,0.55,rod-shaped,29194.0,546023
1514.0,P9,"DSM 23228, LMG 25523",1.0,Jeotgalibacillus soli,1.5-4.0,0.8,rod-shaped,30052.0,889306
14415.0,MPA-33,"DSM 22420, CCM 7679, CCUG 57953, MPA 33",1.0,Jeotgalicoccus aerolatus,1.75,1.75,,,709510
14416.0,"MK-7, MK7","DSM 22419, CCM 7682, CCUG 57956",1.0,Jeotgalicoccus coquinae,1.75,1.75,coccus-shaped,29813.0,709509
14413.0,,"DSM 19772, CCTCC AA 207028, KCTC 13189, JSM 076033",1.0,Jeotgalicoccus marinus,0.9,,coccus-shaped,28951.0,516700
140837.0,JN14-9,"MCCC 1A00733, KCTC 42153",1.0,Jiulongibacter sediminis,2.8-3,0.5-0.6,rod-shaped,43640.0,
6315.0,QH3A7,"DSM 15701, CGMCC 1.3459, CIP 108595",1.0,Jonesia quinghaiensis,1.75,0.5,rod-shaped,31289.0,262806
17784.0,AIP 136.05,"DSM 22815, CCUG 53819, CIP 109408, ADV 126",1.0,Jonquetella anthropi,1.55,0.85,rod-shaped,32260.0,885272
5732.0,EN5,"DSM 19592, CGMCC 1.6973, KCTC 12518",1.0,Joostella marina,1.5,0.25,rod-shaped,32515.0,926559
159825.0,,"JCM 31803, KACC 19096, LYH 11",1.0,Kaistia algarum,0.8-1.3,0.5-0.7,coccus-shaped,66671.0,2083279
133806.0,B6-12,"KCTC 23766, JCM 18034",1.0,Kaistia defluvii,1.5,0.65,rod-shaped,30558.0,410841
13564.0,Ko04,"DSM 23481, KCTC 12575, LMG 23410",1.0,Kaistia granuli,1.2,0.5,rod-shaped,32136.0,363259
24471.0,E94,"DSM 25966, CCM 8401, CIP 110381, LMG 26925",1.0,Kaistia hirudinis,1,0.5,rod-shaped,31006.0,1293440
13565.0,5YN9-8,"DSM 19436, KACC 12605",1.0,Kaistia soli,1.5,1.05,rod-shaped,32352.0,1122133
13566.0,5YN7-3,"DSM 21341, KACC 12910",1.0,Kaistia terrae,1.2-1.4,0.8-0.9,rod-shaped,29378.0,537017
159856.0,XY-R6,"MCCC 1K01498, KCTC 52266, DSM 104294",1.0,Kandeliimicrobium roseum,1.3-1.5,0.6-0.8,rod-shaped,66558.0,1737570
397.0,SW-154,"DSM 16071, KCTC 12183",1.0,Kangiella aquimarina,3,0.35,rod-shaped,31263.0,261965
133675.0,YCS-5,"KCTC 23420, CCUG 60526",1.0,Kangiella geojedonensis,0.8-6.5,0.2-0.4,rod-shaped,30094.0,914150
133576.0,,"NRIC 0764, JCM 16211, KMM 3899",1.0,Kangiella japonica,2.5-3.5,,rod-shaped,29619.0,647384
396.0,SW-125,"DSM 16069, KCTC 12182",1.0,Kangiella koreensis,3,0.35,rod-shaped,31263.0,523791
133782.0,KM1,"BCRC 80329, JCM 17728",1.0,Kangiella marina,0.95,0.4,rod-shaped,30478.0,1079178
133836.0,BB-Mw22,"KCTC 23892, CCUG 62217",1.0,Kangiella sediminilitoris,3,0.65,rod-shaped,30632.0,1144748
398.0,A79,"DSM 23219, ATCC BAA 2076",1.0,Kangiella spongicola,2.25,0.75,rod-shaped,29816.0,796379
133783.0,KT1,"BCRC 80330, JCM 17727",1.0,Kangiella taiwanensis,1.75,0.75,rod-shaped,30478.0,1079179
354.0,3925,"DSM 16618, CCUG 47000, LMG 5906, CIP 108214",1.0,Kerstersia gyiorum,1-2,,coccus-shaped,23271.0,206506
133793.0,,"CCUG 46999, LMG 5890",1.0,Kerstersia similis,1.07,0.4,ovoid-shaped,30519.0,
159863.0,GI5,"KCTC 52659, JCM 31835",1.0,Ketobacter alkanivorans,1.6-1.8,0.4-0.6,rod-shaped,66584.0,1917421
140549.0,soj2014,"KCTC 42186, JCM 30386",1.0,Kiloniella antarctica,1.5-3.2,0.3-0.5,spiral-shaped,43338.0,
158283.0,,"DSM 102158, KCTC 39739, YIM 121940",1.0,Kineococcus aureolus,1.0-1.3,,coccus-shaped,65405.0,2044857
140890.0,L2-1-L1,"BCC 75409, NBRC 110933",1.0,Kineococcus mangrovi,0.8-1.3,,coccus-shaped,43721.0,
158284.0,,"DSM 102155, KCTC 39738, YIM 121936",1.0,Kineococcus terrestris,1.0-1.3,,coccus-shaped,65405.0,2044856
133070.0,KNHs209,"DSM 100556, ATCC TSD-26",1.0,Kineothrix alysoides,3.3-6.7,0.5-0.6,rod-shaped,25187.0,1857183
140547.0,,"CSUR P957, CCUG 69806, SCH Sch538",1.0,Kingella negevensis,1-1.7,0.7-1.2,coccus-shaped,43336.0,
3031.0,KIN192,"DSM 25082, CCUG 53117, CECT 7319",1.0,Kinneretia asaccharophila,2,,rod-shaped,29355.0,582607
133798.0,A36,"KACC 16204, JCM 17805",1.0,Kistimonas scapharcae,2.25,0.3,rod-shaped,30546.0,1036133
133650.0,LX3,"DSM 16265, JCM 12419, CCUG 57108, CIP 108642",0.0,Klebsiella variicola,1.45,0.7,rod-shaped,29929.0,244366
23033.0,PB34,"DSM 45843, JCM 17785, KCTC 19880",1.0,Klenkia soli,1.4,1.4,rod-shaped,30982.0,1052260
24062.0,3-wff-81,"DSM 45962, CGMCC 1.12303, NBRC 109416",1.0,Klenkia taihuensis,1.95,0.75,rod-shaped,31001.0,1225127
23034.0,PB 261,"DSM 45844, JCM 17786, KCTC 19881",1.0,Klenkia terrae,1.4,1.4,rod-shaped,30982.0,1052259
7332.0,"44C3, C44","DSM 18031, ATCC BAA 1524, JCM 16542",1.0,Klugiella xanthotipulae,0.6-3.4,0.4-0.8,rod-shaped,32596.0,244735
6271.0,5317S-21,"DSM 18566, KACC 20583",1.0,Knoellia aerolata,1.5,1,ovoid-shaped,32308.0,442954
6272.0,TL1,"DSM 25785, CGMCC 1.10749, KCTC 19810",1.0,Knoellia flava,1.0-1.9,0.6,rod-shaped,30215.0,1385518
140923.0,CM1E1,"HAMBI 3625, LMG 28671, CCBAU 101092",1.0,Kocuria arsenatis,0.2-0.6,,coccus-shaped,43794.0,
7659.0,K07-05,"DSM 44905, JCM 13326, MTCC 7020, CCUG 56039",1.0,Kocuria himachalensis,1-1.5,,coccus-shaped,31622.0,322508
140489.0,RS-2-3,"NBRC 110990, InaCC A704",1.0,Kocuria pelophila,1,1,coccus-shaped,43101.0,1638993
141150.0,Hv14b,"DSM 28714, CECT 9229",1.0,Kocuria salina,1.0-1.2,0.8-1.0,coccus-shaped,44071.0,1929416
7666.0,104,"DSM 24776, JCM 16361, KACC 21128",1.0,Kocuria salsicia,1.25,1.25,coccus-shaped,29803.0,664639
159749.0,WE7,"CGMCC 1.15338, JCM 31140",1.0,Komagataeibacter cocois,1.6-3.5,0.4-0.5,rod-shaped,66674.0,1747507
134216.0,RG3,"LMG 23726, MTCC 6913",1.0,Komagataeibacter kombuchae,2.0-3.0,0.1-0.2,rod-shaped,31910.0,436
45.0,G5-1,"DSM 24098, JCM 25156, LMG 26206, NRIC 0798",1.0,Komagataeibacter kakiaceti,2,1.2,,30251.0,1234672
133875.0,,"NBRC 3288, Kondo 51, LMG 1693",1.0,Komagataeibacter medellinensis,2,0.65,rod-shaped,30737.0,634177
133649.0,OT-1,"KCC8814P, NBRC 1000336",1.0,Kordia algicida,2-5,"3.5, 2-5",,,
,,,,,3.5,,,,
134041.0,,"KCTC 32292, NBRC 109401, IMCC 3317",1.0,Kordia antarctica,2.95,0.7,rod-shaped,31122.0,1218801
134074.0,CC-AMZ-301,"JCM 18556, BCRC 80464",1.0,Kordia aquimaris,2.45,0.75,rod-shaped,31176.0,1227947
140820.0,,"KCTC 42872, MCCC 1A01772, LMG 29123, SC 2",1.0,Kordia ulvae,2.2-3.5,0.4,rod-shaped,43610.0,
158674.0,ZO2-23,"KCTC 52268, JCM 31799",1.0,Kordia zosterae,2.4-4.1,0.9-1.0,rod-shaped,65406.0,
133812.0,101-1,"KACC 16184, JCM 17742",1.0,Kordiimonas aestuarii,3,0.45,rod-shaped,30568.0,1005925
133810.0,,"KCCM 42940, JCM 16665, MEBiC 06554",1.0,Kordiimonas aquimaris,0.95,0.75,rod-shaped,30566.0,707591
17858.0,GW14-5,"DSM 19435, CIP 109032, JCM 12864, KCCM 42021",1.0,Kordiimonas gwangyangensis,1.35,0.25,rod-shaped,31494.0,1122137
17859.0,S3-22,"DSM 23258, CGMCC 1.9109, JCM 16261",1.0,Kordiimonas lacus,4.5,0.65,rod-shaped,29662.0,637679
140838.0,M41,"CGMCC 1.15304, JCM 30877",1.0,Kordiimonas lipolytica,1.8-3,0.7-0.9,rod-shaped,43641.0,
158811.0,N18,"MCCC 1K03436, KCTC 62164",1.0,Kordiimonas pumila,1.0-2.9,0.4-0.7,rod-shaped,65575.0,
4383.0,Ah-143,"DSM 25165, KCTC 22375, LMG 26131, NCIMB 14469, CCUG 66539",1.0,Kosakonia arachidis,2-3.7,0.5-0.7,rod-shaped,29467.0,551989
133472.0,,"LMG 24251, CGMCC 1.7012, Ola 51",1.0,Kosakonia oryzae,1.7,0.95,rod-shaped,29090.0,497725
130318.0,SP1,"DSM 100203, CGMCC 1.12102, LMG 26783",1.0,Kosakonia sacchari,1.35,0.6,rod-shaped,30832.0,1158459
17071.0,TBF 19.5.1,"DSM 21960, ATCC BAA 1733",1.0,Kosmotoga olearia,1,0.55,rod-shaped,29179.0,521045
58.0,YO-3,"DSM 14400, IFO 16664, JCM 11301, NBRC 16664, NRIC 0488, CCUG 48823, CCM 7137",1.0,Kozakia baliensis,2.0-3.0,0.6-0.8,rod-shaped,23245.0,153496
23163.0,,"DSM 23718, JCM 30548, NRRL B-24812, PIP 118",1.0,Kribbella endophytica,2.5,0.35,rod-shaped,30657.0,913948
5738.0,,"DSM 19886, KCTC 22188, KMM 3665",1.0,Kriegella aquimaris,1.2-1.4,0.4-0.5,rod-shaped,32598.0,192904
6084.0,A10,"DSM 21353, CCM 7415, CECT 7220, JCM 18992",1.0,Kushneria aurantia,3.5,1,rod-shaped,28913.0,504092
6083.0,Mw2a,"DSM 23439, CECT 7193, CIP 109711, JCM 18993",1.0,Kushneria avicenniae,2.3,1.5,rod-shaped,32017.0,402385
159725.0,EAod7,"CECT 9075, LMG 29858",1.0,Kushneria endophytica,0.2-0.3,0.1,rod-shaped,66633.0,2269386
132885.0,CG2.1,"DSM 14324, CECT 5902, CIP 109528, LMG 23625",1.0,Kushneria indalinina,1.1-1.3,0.8,rod-shaped,31952.0,184067
140736.0,X49,"KACC 14623, JCM 16805",1.0,Kushneria konosiri,1.2-3.2,0.5-1,rod-shaped,43515.0,
159726.0,EAod3,"CECT 9073, LMG 29856",1.0,Kushneria phyllosphaerae,0.2-0.3,0.1,rod-shaped,66633.0,2100822
6085.0,Z35,"DSM 23229, CCTCC AB 209027, NRRL B-59197",1.0,Kushneria sinocarnis,1.4-3.5,0.5-0.8,rod-shaped,29472.0,595502
158437.0,EA-1,"DSM 106492, CCOS 1194",1.0,Kyrpidia spormannii,4-8,0.7-1.2,rod-shaped,66748.0,
7497.0,KSW2-17,"DSM 21548, JCM 14008, KCTC 19176",1.0,Labedella gwakjiensis,2.7,0.34,rod-shaped,31882.0,390269
133336.0,,"HQYD1, MCCC 1K02304, KCTC 42583",1.0,Saccharicrinis aurantiacus,1.5-20.0,"1.5-20.0, 2.0-17.0 ",,,1849719
,,,,,2.0-17.0,,,,
13836.0,DFL-11,"DSM 17067, NCIMB 14079",1.0,Roseibium alexandrii,1.95,0.6,rod-shaped,32020.0,244592
13835.0,mano 18,"DSM 17023, KCTC 12288",1.0,Roseibium marinum,1.3-2,0.6-0.8,rod-shaped,31521.0,281252
133285.0,Cs25,"Cs25, DSM 29163, CECT 8816",1.0,Roseibium salinum,1.0-2.5,0.5-1.0,rod-shaped,25103.0,1604349
17410.0,JLW10,"DSM 16812, ATCC BAA 1080",1.0,Labrys methylaminiphilus,1.1,0.85,rod-shaped,31365.0,1096091
134210.0,Liujia-146,"BCRC 17578, LMG 23578",1.0,Labrys neptuniae,1.35,0.8,rod-shaped,31864.0,376174
17411.0,F 11,"DSM 17916, LMG 23412",1.0,Labrys portucalensis,0.9,0.75,rod-shaped,32421.0,253547
17414.0,W1215-PCA-4,"DSM 19619, NRRL B-51088",1.0,Labrys wisconsinensis,02-03,1-1.5,rod-shaped,29527.0,425677
6377.0,CD3:22,"DSM 23576, CCUG 58757",1.0,Lachnoanaerobaculum umeaense,15,,rod-shaped,30331.0,617123
132396.0,DLD10,"DSM 28816, JCM 30818",1.0,Lachnotalea glycerini,1-3,0.2-0.5,rod-shaped,43795.0,1763509
133442.0,NJ-8,"CGMCC 1.7271, NBRC 104930",1.0,Lacibacter cauensis,1.5,0.5,rod-shaped,29001.0,510947
133331.0,,"SS2-56, KCTC 52160, JCM 31372",1.0,Lacibacter nakdongensis,1.6-3.8,0.4-0.5,rod-shaped,25190.0,1843099
134071.0,LTC-2,"BCRC 80445, LMG 26999, KCTC 32017",1.0,Lacibacterium aquatile,3.15,0.6,rod-shaped,31172.0,1168082
140675.0,,"KCTC 23619, CECT 7956, HME 7103",1.0,Lacihabitans lacunae,1.4-1.6,0.5-0.6,rod-shaped,43439.0,
141137.0,X13M-12,"CGMCC 1.12923, KCTC 42674",1.0,Lacimicrobium alkaliphilum,1.2-2.3,0.5-0.8,curved-shaped,44053.0,
133188.0,,"7Alg 4, KCTC 23036, KMM 6381",1.0,Lacinutrix cladophorae,1.2-2.3,0.4-0.5,rod-shaped,24984.0,1778903
134121.0,DJ3,"ACAM 1055, CIP 108538",1.0,Lacinutrix copepodicola,1.5,0.45,rod-shaped,31431.0,263170
140924.0,Lxc1,"MCCC 1A01567, KCTC 42808",1.0,Lacinutrix gracilariae,1.4-1.9,0.5,rod-shaped,43796.0,
133839.0,E4-9a,"CIP 110310, KCTC 23612",1.0,Lacinutrix himadriensis,1.1,0.45,coccus-shaped,30640.0,641549
133006.0,Th68,"DSM 26284, JCM 18637, KCTC 32141",1.0,Lacinutrix iliipiscaria,0.3-3.0,0.2-0.8,rod-shaped,24984.0,1230532
134366.0,,"KCCM 42306, JCM 13824, AKS 432",1.0,Lacinutrix mariniflava,1.1-2.5,0.6-0.8,rod-shaped,32625.0,342955
2287.0,MIC1-18,"DSM 19658, NBRC 101988",1.0,Lacticigenium naphthae,2.15,0.65,rod-shaped,28990.0,515351
6661.0,R-19065,"CCUG 50162, DSM 19394, CCM 7240, LMG 22200, R-19065",1.0,Levilactobacillus acidifarinae,11,1,rod-shaped,31309.0,267364
141151.0,WiKim29,"KCTC 21077, JCM 31938",1.0,Companilactobacillus allii,1.8-2.5,0.6,rod-shaped,44072.0,
6412.0,OTU-171-1,"DSM 16698, CIP 109151, NCCB 100067",0.0,Lactobacillus amylovorus,02-20,,rod-shaped,31422.0,1604
6613.0,Kx146A4,"DSM 16041, CCUG 48456, CIP 109960, LMG 22111",1.0,Limosilactobacillus antri,1.6,1,rod-shaped,31225.0,227943
6646.0,ASB1,"DSM 16634, CIP 108913",1.0,Ligilactobacillus apodemi,05-06,0.5-1,rod-shaped,31735.0,307126
6691.0,,"DSM 21051, CECT 7355, IMCC 1736",1.0,Liquorilactobacillus aquaticus,2.79,1.2,rod-shaped,29191.0,392566
6642.0,L-1062,"DSM 18080, JCM 18665, LMG 23555",1.0,Loigolactobacillus backii,3,0.7,rod-shaped,31094.0,375175
159711.0,BS-W1,"BCRC 80970, NBRC 112377",1.0,Levilactobacillus bambusae,1.5-2,0.8,rod-shaped,66590.0,2024736
6704.0,SL1108,"DSM 23927, ATCC BAA 2142, LMG 26001",1.0,Lacticaseibacillus brantae,4,0.5,rod-shaped,30345.0,1293598
6681.0,R-34119,"DSM 21116, LMG 24285",1.0,Liquorilactobacillus cacaonum,2.5,0.9,rod-shaped,28904.0,483012
6680.0,,"DSM 19910, BCRC 17811, JCM 15044, YIT 11306",1.0,Liquorilactobacillus capillatus,1.5-2,0.8-1.2,rod-shaped,32643.0,480931
140356.0,MOZM2,"DSM 100239, CCM 8609, LMG 28780",1.0,Limosilactobacillus caviae,1.2-8.5,0.4-0.8,rod-shaped,43460.0,1769424
6677.0,142-2,"DSM 22408, CCUG 53626, CECT 7185, JCM 15609",1.0,Ligilactobacillus ceti,2.7,0.5,rod-shaped,32356.0,1122146
6668.0,,"DSM 18527, JCM 14202, NRIC 0689",1.0,Agrilactobacillus composti,02-06,0.8,rod-shaped,31976.0,398555
6636.0,C-5-1,"DSM 17758, AS 1.5017, LMG 22739",1.0,Lapidilactobacillus concavus,2.25,0.55,rod-shaped,31423.0,287844
134233.0,,"CCUG 53174, CIP 109613, LMG 23699",1.0,Companilactobacillus crustorum,8.5,0.75,rod-shaped,32030.0,392416
133853.0,CCTCC M 2011381,"S1L19, JCM 18524",1.0,Lentilactobacillus curieae,2.1,0.7,rod-shaped,30677.0,1138822
140766.0,VTT E-94560,JCM 31185,1.0,Furfurilactobacillus curtus,0.5-1,0.5,rod-shaped,43544.0,
24135.0,ZN7a-9,"DSM 26046, CHCC13979, LMG 27067",1.0,Lactobacillus delbrueckii subsp. jakobsenii,6.25,0.5,rod-shaped,30974.0,1217420
