N2	k__Archaea
N7945	g__Gallibacterium; s__Gallibacterium anatis
N7949	o__Enterobacterales
N7962	s__Crocosphaera subtropica
N7977	s__Corynebacterium callunae
N7982	s__Corynebacterium diphtheriae
N7983	s__Corynebacterium pseudotuberculosis
N8032	g__Schaalia
N8033	s__Ruminococcus bicirculans
N8039	s__Butyrivibrio hungatei
N8042	s__Blautia obeum
N8054	s__[Clostridium] innocuum
N8055	s__Bacillus anthracis
N8058	s__Priestia megaterium
N8063	s__Weizmannia coagulans
N8064	s__Bacillus badius
N8068	g__Mesobacillus
N8074	s__Streptococcus ratti
N8085	s__Lactobacillus hominis
N8086	s__Lactobacillus psittaci
N8087	s__Lactobacillus jensenii
N8105	s__Secundilactobacillus kimchicus
N8117	g__Hydrotalea; s__Hydrotalea flava
N8119	g__Flavihumibacter
N8132	f__Fulvivirgaceae
N8133	f__Roseivirgaceae
N8134	f__Cyclobacteriaceae
N8135	g__Cytophaga
N8136	g__Hymenobacter
N8138	g__Pontibacter
N8147	g__Polaribacter
N8151	g__Myroides
N8152	g__Flavobacterium
N8165	s__Sanguibacteroides justesenii
N8171	s__Saccharicrinis fermentans
N8174	g__Draconibacterium
N8181	f__Dysgonomonadaceae
N8182	g__Barnesiella
N8188	f__Prevotellaceae_2
N8189	f__Prevotellaceae_1
N8194	g__Desulfobacter
N8198	g__Gluconobacter
N8199	g__Komagataeibacter
N8203	g__Skermanella
N8204	g__Azospirillum
N8216	f__Sphingomonadaceae_2; g__Novosphingobium
N8217	f__Erythrobacteraceae
N8225	g__Palleronia
N8237	g__Devosia
N8257	g__Stenotrophomonas
N8260	g__Methylomicrobium
N8272	s__Fluoribacter dumoffii
N8280	f__Porticoccaceae
N8281	g__Simiduia; s__Simiduia agarivorans
N8290	g__Halomonas
N8297	s__Paraglaciecola psychrophila
N8300	s__Glaciecola punicea
N8320	g__Grimontia
N8321	g__Enterovibrio
N8322	s__Salinivibrio socompensis
N8331	g__Avibacterium
N8333	o__Orbales; f__Orbaceae; g__Gilliamella
N8334	f__Budviciaceae; g__Pragia
N8374	s__Cutibacterium acnes
N8390	s__Leucobacter chromiiresistens
N8396	g__Curtobacterium
N8421	s__Bacillus pumilus
N8423	s__Bacillus subtilis
N8427	s__Bacillus enclensis
N8452	s__Limosilactobacillus ingluviei
N8460	s__Fructilactobacillus florum
N8472	g__Flavisolibacter
N8474	g__Niabella
N8482	s__Pedobacter antarcticus
N8485	f__Cesiribacteraceae
N8493	g__Rufibacter
N8506	s__Capnocytophaga haemolytica
N8511	g__Zhouia
N8521	s__Anaerophaga thermohalophila
N8522	s__Draconibacterium orientale
N8528	g__Parabacteroides
N8533	g__Phocaeicola
N8534	g__Bacteroides
N8535	g__Paraprevotella
N8538	g__Prevotella
N8559	s__Sphingobium herbicidovorans
N8564	s__Novosphingobium barchaimii
N8566	g__Cereibacter
N8582	f__Kaistiaceae
N8584	s__Herbaspirillum chlorophenolicum
N8588	g__Caballeronia
N8589	g__Paraburkholderia
N8597	g__Comamonas
N8599	g__Dyella
N8600	g__Rhodanobacter
N8623	s__Acinetobacter venetianus
N8629	g__Cellvibrio
N8632	g__Teredinibacter
N8636	s__Candidatus Portiera aleyrodidarum
N8638	g__Chromohalobacter
N8650	s__Glaciecola pallidula
N8657	s__Shewanella baltica
N8672	g__Bibersteinia; s__Bibersteinia trehalosi
N8673	g__Glaesserella
N8679	f__Morganellaceae
N8692	s__Corynebacterium pseudodiphtheriticum
N8722	g__Pseudarthrobacter
N8744	s__Bacillus altitudinis
N8750	g__Cytobacillus
N8763	s__Lactobacillus gigeriorum
N8764	s__Lactobacillus pasteurii
N8774	s__Limosilactobacillus antri
N8776	s__Limosilactobacillus fermentum
N8778	s__Secundilactobacillus similis
N8781	s__Lentilactobacillus parafarraginis
N8783	s__Fructilactobacillus lindneri
N8794	g__Sediminibacterium
N8797	g__Niastella
N8808	s__Pedobacter heparinus
N8810	g__Roseivirga
N8818	s__Pontibacter akesuensis
N8819	g__Runella
N8825	s__Myroides odoratus
N8834	g__Kordia
N8836	g__Nonlabens
N8843	g__Dysgonomonas
N8853	g__Asaia
N8855	s__Gluconobacter oxydans
N8868	s__Cereibacter sphaeroides
N8871	g__Actibacterium
N8874	f__Methylocystaceae_1
N8875	f__Beijerinckiaceae
N8876	f__Boseaceae; g__Bosea
N8878	f__Xanthobacteraceae
N8881	g__Kaistia
N8887	g__Rhodoferax
N8888	g__Polaromonas
N8889	g__Ramlibacter
N8890	g__Pseudorhodoferax
N8922	g__Marinimicrobium
N8923	g__Gilvimarinus
N8925	s__Teredinibacter turnerae
N8927	s__Pseudomonas alcaligenes
N8954	s__Glaesserella parasuis
N8957	g__Aggregatibacter
N8958	g__Haemophilus
N8959	s__Gilliamella apicola
N8960	s__Pragia fontium
N8986	s__Streptomyces sp. WMMB 714
N8988	s__Streptomyces lydicus
N9005	g__Rathayibacter
N9015	s__Bacillus velezensis
N9016	s__Bacillus amyloliquefaciens
N9020	g__Neobacillus
N9031	s__Lactobacillus acetotolerans
N9044	s__Secundilactobacillus odoratitofui
N9059	s__Pedobacter steynii
N9062	g__Echinicola
N9063	g__Cyclobacterium
N9064	g__Rhodonellum
N9065	g__Algoriphagus
N9069	g__Dyadobacter
N9074	s__Capnocytophaga granulosa
N9108	g__Alloprevotella
N9127	g__Croceibacterium
N9129	g__Pseudorhodobacter
N9130	g__Rhodobacter
N9134	g__Methylosinus
N9135	g__Methylocystis
N9142	f__Bradyrhizobiaceae
N9155	g__Variovorax
N9156	g__Verminephrobacter
N9165	g__Xylella
N9166	g__Xanthomonas
N9177	s__Acinetobacter bohemicus
N9190	s__Pseudomonas stutzeri
N9198	g__Marinobacterium
N9199	g__Nitrincola
N9203	s__Pseudoalteromonas luteoviolacea
N9214	s__Avibacterium paragallinarum
N9215	g__Basfia
N9216	s__Haemophilus parainfluenzae
N9219	g__Xenorhabdus
N9246	s__Streptomyces clavuligerus
N9255	s__Pseudarthrobacter phenanthrenivorans
N9257	s__Microbacterium hydrocarbonoxydans
N9262	g__Leifsonia
N9283	s__Lactobacillus apis
N9309	g__Spirosoma
N9310	g__Kaistella
N9311	g__Epilithonimonas
N9312	g__Chryseobacterium
N9314	s__Myroides profundi
N9315	s__Myroides odoratimimus
N9316	s__Flavobacterium akiainvivens
N9323	s__Zhouia amylolytica
N9325	g__Robiginitalea
N9333	g__Aquimarina
N9354	g__Aurantiacibacter
N9364	g__Beijerinckia
N9367	f__Methylobacteriaceae
N9369	g__Azorhizobium
N9370	g__Xanthobacter
N9375	f__Pleomorphomonadaceae
N9377	f__Aurantimonadaceae_1
N9394	s__Acinetobacter indicus
N9420	s__Alteromonas mediterranea
N9421	s__Alteromonas macleodii
N9432	s__Haemophilus influenzae
N9436	g__Proteus
N9437	g__Morganella
N9438	g__Arsenophonus
N9440	f__Bruguierivoracaceae
N9442	f__Hafniaceae
N9445	s__Corynebacterium aurimucosum
N9456	s__Streptomyces avermitilis
N9467	g__Agromyces
N9468	s__Butyrivibrio proteoclasticus
N9489	s__Roseivirga seohaensis
N9491	s__Rhodonellum psychrophilum
N9505	s__Flavobacterium rivuli
N9506	s__Flavobacterium subsaxonicum
N9512	g__Muricauda
N9514	g__Mangrovimonas
N9520	g__Aequorivita
N9526	g__Proteiniphilum
N9547	g__Halocynthiibacter
N9551	g__Methylocapsa
N9556	g__Afipia
N9560	g__Pleomorphomonas
N9561	f__Stappiaceae
N9562	g__Aurantimonas
N9563	g__Aureimonas
N9564	f__Ahrensiaceae; g__Ahrensia
N9594	s__Pseudomonas putida
N9596	s__Halomonas sp. HL-93
N9601	g__Amphritea
N9603	g__Neptunomonas
N9610	g__Vibrio
N9620	s__Morganella psychrotolerans
N9622	g__Providencia
N9623	g__Sodalis
N9628	f__Yersiniaceae
N9646	s__Microbacterium testaceum
N9653	s__Streptococcus pyogenes
N9655	s__Lacticaseibacillus casei
N9658	s__Lactobacillus acidophilus
N9666	s__Algoriphagus marincola
N9682	g__Winogradskyella
N9686	s__Nonlabens ulvanivorans
N9688	g__Dokdonia; s__Dokdonia donghaensis
N9719	g__Microvirga
N9720	g__Methylobacterium
N9721	g__Methylorubrum
N9724	g__Rhodopseudomonas
N9759	g__Neptuniibacter
N9760	s__Neptunomonas phycophila
N9765	g__Candidatus Photodesmus
N9777	f__; g__
N9781	f__Pectobacteriaceae
N9809	s__Chryseobacterium formosense
N9821	g__Cellulophaga
N9824	g__Maribacter
N9828	g__Formosa
N9831	g__Leeuwenhoekiella
N9833	g__Salinimicrobium
N9835	s__Bacteroides fragilis
N9838	s__Prevotella ruminicola
N9846	g__Celeribacter
N9856	s__Methylobacterium aquaticum
N9860	s__Rhodopseudomonas palustris
N9861	g__Nitrobacter
N9862	g__Bradyrhizobium
N9863	g__Pseudovibrio
N9866	f__Phyllobacteriaceae_2; g__Hoeflea
N9868	f__Phyllobacteriaceae_1
N9888	s__Neptunomonas antarctica
N9899	s__Candidatus Baumannia cicadellinicola
N9902	g__Serratia
N9906	f__Erwiniaceae_1
N9907	f__Enterobacteriaceae_1
N9931	s__Chryseobacterium indologenes
N9939	g__Arenibacter
N9942	g__Psychroserpens
N9944	g__Lacinutrix
N9946	g__Algibacter
N9951	g__Gillisia
N9961	g__Qipengyuania
N9963	g__Porphyrobacter
N9964	g__Erythrobacter
N9965	g__Rubellimicrobium
N9979	s__Pseudovibrio exalbescens
N9982	g__Roseibium
N9983	s__Aureimonas ureilytica
N9985	f__Aurantimonadaceae_2; g__Martelella
N9986	f__Rhizobiaceae
N9990	f__Bartonellaceae
N9995	s__Acinetobacter lwoffii
N10006	f__Enterobacteriaceae_2; g__Candidatus Blochmannia
N10012	g__Yersinia
N10039	s__Muricauda antarctica
N10049	g__Psychroflexus
N10059	g__Citromicrobium
N10063	g__Limimaricola
N10071	s__Methylorubrum populi
N10079	g__Liberibacter
N10082	g__Nitratireductor
N10085	f__Phyllobacteriaceae_3; g__Phyllobacterium
N10087	g__Bartonella
N10106	g__Erwinia
N10138	g__Gramella
N10139	s__Bacteroides thetaiotaomicron
N10147	g__Octadecabacter
N10156	s__Bradyrhizobium elkanii
N10157	s__Bradyrhizobium lablabi
N10165	g__Chelativorans
N10169	f__Brucellaceae; g__Brucella
N10175	s__Vibrio parahaemolyticus
N10179	f__Erwiniaceae_2; g__Buchnera
N10182	s__Yersinia pestis
N10183	g__Dickeya
N10186	g__
N10187	g__Pantoea
N10204	g__Zobellia
N10205	s__Maribacter dokdonensis
N10214	s__Octadecabacter temperatus
N10215	g__Loktanella
N10217	g__Pseudooceanicola
N10220	g__Roseovarius
N10228	s__Roseibium album
N10231	g__Rhizobium
N10234	s__Brucella anthropi
N10235	s__Bartonella tamiae
N10236	s__Bartonella apis
N10241	s__Vibrio alginolyticus
N10242	s__Vibrio sp. JCM 18905
N10244	f__Enterobacteriaceae_3; g__Candidatus Riesia
N10245	f__Erwiniaceae_3; g__Wigglesworthia; s__Wigglesworthia glossinidia
N10246	s__Buchnera aphidicola
N10247	s__Yersinia enterocolitica
N10280	g__Thalassobius
N10288	s__Candidatus Liberibacter solanacearum
N10293	s__Rhizobium leguminosarum
N10297	g__Mesorhizobium
N10338	g__Shimia
N10345	s__Candidatus Liberibacter asiaticus
N10347	g__Ensifer
N10348	g__Sinorhizobium
N10349	s__Agrobacterium rhizogenes
N10361	s__Bartonella clarridgeiae
N10372	s__bacteria symbiont BFo2 of Frankliniella occidentalis
N10377	g__Enterobacter
N10411	g__Pseudorhizobium
N10417	s__Bartonella bovis
N10418	s__Bartonella bacilliformis
N10431	s__Prevotella intermedia
N10434	s__Prevotella bryantii
N10436	g__Roseivivax
N10451	s__Bartonella washoeensis
N10459	g__Escherichia; s__Escherichia coli
N10469	g__Sulfitobacter
N10481	g__Pluralibacter
N10483	g__Kluyvera
N10484	g__Klebsiella
N10485	g__Citrobacter
N10492	g__Ruegeria
N10499	s__Bartonella rattimassiliensis
N10500	s__Bartonella tribocorum
N10510	s__Sulfitobacter donghicola
N10514	g__Tritonibacter
N10515	g__Phaeobacter
N10521	s__Bartonella henselae
N10523	s__Bartonella vinsonii
N10529	g__Salipiger
N10534	g__Leisingera
